Label,N,Mean Proto HR,SD Proto HR,Mean Fitbit HR,MAE,RMSE,Correlation r,Slope a,Intercept b,>50% Conf %,>90% Conf %,Mean SpO2,SD SpO2,HC_N,HC_MAE,HC_RMSE,HC_r,LM_N,LM_MAE,LM_RMSE,LM_r
Calibration (Skin Contact),1898,65.79188619599579,6.970258189929143,76.85992272567617,11.068036529680366,13.218597132488613,-0.1596065993984366,-1.0081730464144718,143.27998863752111,99.31506849315068,99.31506849315068,98.47523709167545,8.18800362383062,1885,10.613987621573829,11.625077190607902,-0.2533679677545969,982,11.059775967413442,13.235483664541755,-0.1401988490840563
Skin Trial (Overall),10551,72.68192588380248,33.58475244092337,113.00543708337283,40.32351119957034,54.55784385512035,0.20280040766140145,0.29336340076429046,39.530266556168506,82.24812813951284,81.47095062079424,93.55549237039143,22.410253364251947,8596,26.632681867535286,34.71229013173805,0.34223902488866587,5276,38.62461460702553,52.45913249063136,0.20362139459243442
