Label,N,Mean Proto HR,SD Proto HR,Mean Fitbit HR,MAE,RMSE,Correlation r,Slope a,Intercept b,>50% Conf %,>90% Conf %,Mean SpO2,SD SpO2,HC_N,HC_MAE,HC_RMSE,HC_r,LM_N,LM_MAE,LM_RMSE,LM_r
Skin Trial – Walking,2510,68.7796812749004,28.20084802470456,103.75673306772909,34.97705179282868,45.56946731620808,0.19085980937966704,0.36563396428967976,30.842695641600592,86.69322709163346,86.69322709163346,98.5378486055777,9.501188371110223,2176,24.586657475490195,27.2621103332876,0.5971142615850227,1255,34.44780876494024,44.57398763423174,0.20481332720946183
Skin Trial – Jogging,3039,76.89634748272458,33.94873933430757,144.25541296479105,67.35906548206647,73.66613715323996,0.4775030794223891,0.9921664488685678,-66.22903332862045,81.01349128002633,81.01349128002633,91.58308654162553,25.026705753488706,2462,55.76750609260764,57.65882948329978,0.10564531345768205,1520,67.50355263157894,73.80737928447334,0.4918687405499649
Skin Trial – Rest,5000,72.1084,35.496053913198324,98.66191333333333,26.553513333333335,44.00868404455345,0.14964393849388252,1.0832476068298085,-34.76688150358361,80.80000000000001,79.16,92.2906,24.779389727575097,3958,9.63475661108304,11.846023046958974,0.1680760579466141,2500,26.581773333333334,44.01412530338666,0.15912868490358267
